dteday,hr,datetime,cnt,temp,hum,windspeed,traffic_factor,weather_condition,holiday_flag,weekend_flag,area_name,bike_model,event_name,base_price,surge_multiplier,final_price,zone
2024-05-03,21,2024-05-03 21:00:00,847,28.2,56.6,3.7,0.8,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-03,22,2024-05-03 22:00:00,713,29.6,59.0,1.6,0.76,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-03,23,2024-05-03 23:00:00,753,31.4,54.9,2.7,0.74,Clear,1,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-04,0,2024-05-04 00:00:00,786,28.0,64.6,2.0,0.69,Clear,0,1,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-04,1,2024-05-04 01:00:00,748,29.4,49.9,10.6,0.74,Cloudy,0,1,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-04,2,2024-05-04 02:00:00,581,27.9,54.9,14.0,0.76,Light Rain,0,1,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-04,3,2024-05-04 03:00:00,797,26.8,54.3,4.6,0.78,Clear,0,1,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-04,4,2024-05-04 04:00:00,881,32.1,57.1,11.5,0.79,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-04,5,2024-05-04 05:00:00,919,30.2,54.2,6.5,0.75,Cloudy,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-04,6,2024-05-04 06:00:00,785,28.6,62.2,14.1,0.81,Light Rain,0,1,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-04,7,2024-05-04 07:00:00,1204,27.9,56.3,1.1,0.79,Cloudy,0,1,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-04,8,2024-05-04 08:00:00,1412,31.1,58.4,0.1,0.85,Clear,0,1,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-04,9,2024-05-04 09:00:00,952,30.8,63.1,5.2,0.81,Light Rain,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-04,10,2024-05-04 10:00:00,771,31.1,59.6,1.0,0.76,Light Rain,0,1,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-04,11,2024-05-04 11:00:00,943,25.9,55.5,0.3,0.73,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-04,12,2024-05-04 12:00:00,356,31.5,53.8,10.9,0.71,Heavy Rain,0,1,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-04,13,2024-05-04 13:00:00,806,28.6,54.2,8.1,0.72,Clear,0,1,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-04,14,2024-05-04 14:00:00,815,28.5,66.5,6.9,0.78,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-04,15,2024-05-04 15:00:00,906,29.4,61.3,9.9,0.74,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-04,16,2024-05-04 16:00:00,1025,28.0,53.0,0.6,0.77,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-04,17,2024-05-04 17:00:00,840,31.0,58.9,4.9,0.84,Light Rain,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-04,18,2024-05-04 18:00:00,1266,29.2,52.4,1.1,0.82,Clear,0,1,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-04,19,2024-05-04 19:00:00,1106,27.2,65.3,7.6,0.82,Clear,0,1,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-04,20,2024-05-04 20:00:00,1060,27.5,52.9,10.4,0.76,Clear,0,1,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-04,21,2024-05-04 21:00:00,939,26.0,57.4,5.9,0.75,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-04,22,2024-05-04 22:00:00,809,32.3,59.6,1.5,0.7,Clear,0,1,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-04,23,2024-05-04 23:00:00,765,27.0,56.5,4.8,0.74,Cloudy,0,1,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-05,0,2024-05-05 00:00:00,531,29.3,56.3,4.0,0.77,Light Rain,0,1,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-05,1,2024-05-05 01:00:00,301,26.7,58.8,9.0,0.7,Heavy Rain,0,1,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-05,2,2024-05-05 02:00:00,781,30.6,58.1,6.5,0.69,Clear,0,1,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-05,3,2024-05-05 03:00:00,821,30.4,58.5,6.3,0.72,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-05,4,2024-05-05 04:00:00,805,29.2,52.9,19.0,0.77,Cloudy,0,1,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-05,5,2024-05-05 05:00:00,897,31.9,62.6,10.8,0.72,Cloudy,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-05,6,2024-05-05 06:00:00,1065,29.2,58.4,0.0,0.82,Cloudy,0,1,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-05,7,2024-05-05 07:00:00,1230,25.6,58.0,7.3,0.8,Clear,0,1,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-05,8,2024-05-05 08:00:00,513,28.7,59.9,9.9,0.85,Heavy Rain,0,1,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-05,9,2024-05-05 09:00:00,1345,28.2,67.4,6.1,0.85,Cloudy,0,1,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-05,10,2024-05-05 10:00:00,429,28.9,54.7,4.1,0.79,Heavy Rain,0,1,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-05,11,2024-05-05 11:00:00,953,25.6,54.5,3.5,0.74,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-05,12,2024-05-05 12:00:00,851,29.6,64.4,0.6,0.76,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-05,13,2024-05-05 13:00:00,854,29.2,55.1,7.8,0.76,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-05,14,2024-05-05 14:00:00,874,25.3,65.0,3.3,0.72,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-05,15,2024-05-05 15:00:00,878,31.0,59.6,4.2,0.75,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-05,16,2024-05-05 16:00:00,879,27.9,66.9,7.6,0.83,Foggy,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-05,17,2024-05-05 17:00:00,1130,31.2,55.0,11.9,0.82,Cloudy,0,1,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-05,18,2024-05-05 18:00:00,884,25.0,54.4,9.1,0.79,Light Rain,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-05,19,2024-05-05 19:00:00,1099,29.9,56.3,3.3,0.84,Cloudy,0,1,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-05,20,2024-05-05 20:00:00,434,26.9,62.1,6.0,0.8,Heavy Rain,0,1,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-05,21,2024-05-05 21:00:00,867,30.4,61.1,10.5,0.78,Cloudy,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-05,22,2024-05-05 22:00:00,340,26.7,72.0,5.8,0.7,Heavy Rain,0,1,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-05,23,2024-05-05 23:00:00,848,29.3,59.8,5.1,0.76,Clear,0,1,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-06,0,2024-05-06 00:00:00,642,31.8,61.3,6.8,0.69,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-06,1,2024-05-06 01:00:00,661,27.8,61.3,3.0,0.78,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-06,2,2024-05-06 02:00:00,656,28.6,56.0,14.9,0.77,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-06,3,2024-05-06 03:00:00,555,33.4,62.2,9.4,0.78,Light Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-06,4,2024-05-06 04:00:00,809,29.6,63.2,3.5,0.74,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-06,5,2024-05-06 05:00:00,817,28.4,60.1,9.4,0.79,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-06,6,2024-05-06 06:00:00,731,26.8,62.0,6.7,0.8,Light Rain,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-06,7,2024-05-06 07:00:00,1249,27.9,62.3,5.6,0.85,Clear,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-06,8,2024-05-06 08:00:00,1291,27.9,58.9,5.8,0.82,Clear,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-06,9,2024-05-06 09:00:00,1096,28.1,64.6,5.2,0.86,Cloudy,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-06,10,2024-05-06 10:00:00,976,23.2,59.4,0.1,0.8,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-06,11,2024-05-06 11:00:00,599,24.0,59.3,6.7,0.75,Light Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-06,12,2024-05-06 12:00:00,323,29.5,59.1,9.9,0.72,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-06,13,2024-05-06 13:00:00,312,30.2,64.6,12.0,0.76,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-06,14,2024-05-06 14:00:00,779,27.1,61.4,5.9,0.77,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-06,15,2024-05-06 15:00:00,347,24.7,56.4,13.2,0.74,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-06,16,2024-05-06 16:00:00,660,33.2,60.1,0.4,0.75,Light Rain,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-06,17,2024-05-06 17:00:00,1011,27.6,65.9,5.7,0.81,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-06,18,2024-05-06 18:00:00,464,27.5,54.3,0.7,0.82,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-06,19,2024-05-06 19:00:00,1024,28.2,60.4,5.9,0.82,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-06,20,2024-05-06 20:00:00,938,30.0,71.6,9.1,0.79,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-06,21,2024-05-06 21:00:00,350,27.4,69.1,5.7,0.73,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-06,22,2024-05-06 22:00:00,784,27.8,60.0,5.8,0.75,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-06,23,2024-05-06 23:00:00,689,31.9,59.3,9.6,0.71,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,0,2024-05-07 00:00:00,719,27.5,61.3,8.7,0.78,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,1,2024-05-07 01:00:00,631,30.8,56.3,1.2,0.76,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,2,2024-05-07 02:00:00,723,28.2,58.1,1.6,0.77,Cloudy,1,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,3,2024-05-07 03:00:00,676,27.5,60.2,0.9,0.73,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,4,2024-05-07 04:00:00,737,28.1,55.9,1.5,0.79,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,5,2024-05-07 05:00:00,764,27.9,58.8,5.2,0.78,Foggy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,6,2024-05-07 06:00:00,1031,29.8,60.2,0.7,0.83,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-07,7,2024-05-07 07:00:00,469,32.8,63.1,0.4,0.79,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-07,8,2024-05-07 08:00:00,1049,29.6,54.2,6.0,0.85,Foggy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-07,9,2024-05-07 09:00:00,1026,31.3,66.7,3.0,0.79,Foggy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-07,10,2024-05-07 10:00:00,1033,30.7,63.5,11.4,0.77,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-07,11,2024-05-07 11:00:00,619,30.1,59.8,13.5,0.73,Light Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-07,12,2024-05-07 12:00:00,714,25.2,58.7,19.9,0.79,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,13,2024-05-07 13:00:00,702,27.8,62.3,1.9,0.78,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,14,2024-05-07 14:00:00,662,30.9,57.5,5.6,0.78,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,15,2024-05-07 15:00:00,800,31.9,52.0,5.4,0.72,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,16,2024-05-07 16:00:00,796,31.3,54.4,1.8,0.8,Foggy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,17,2024-05-07 17:00:00,1072,28.7,50.4,4.9,0.78,Clear,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-07,18,2024-05-07 18:00:00,1049,26.8,59.3,1.5,0.77,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-07,19,2024-05-07 19:00:00,996,30.9,67.6,12.4,0.78,Cloudy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-07,20,2024-05-07 20:00:00,643,29.2,64.7,2.7,0.77,Light Rain,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,21,2024-05-07 21:00:00,606,30.4,67.5,5.7,0.76,Light Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-07,22,2024-05-07 22:00:00,659,29.7,60.9,1.9,0.7,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-07,23,2024-05-07 23:00:00,502,28.8,52.9,9.5,0.73,Light Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-08,0,2024-05-08 00:00:00,471,29.0,59.4,6.3,0.74,Light Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-08,1,2024-05-08 01:00:00,622,28.5,54.4,2.8,0.73,Cloudy,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-08,2,2024-05-08 02:00:00,471,27.4,63.7,21.4,0.74,Light Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-08,3,2024-05-08 03:00:00,706,27.2,54.6,3.6,0.75,Cloudy,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-08,4,2024-05-08 04:00:00,809,34.1,65.2,0.0,0.79,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-08,5,2024-05-08 05:00:00,858,26.3,50.5,6.4,0.74,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-08,6,2024-05-08 06:00:00,856,28.7,56.2,2.2,0.75,Foggy,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-08,7,2024-05-08 07:00:00,1180,29.2,61.4,18.8,0.82,Clear,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-08,8,2024-05-08 08:00:00,1213,28.4,56.0,7.6,0.88,Cloudy,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-08,9,2024-05-08 09:00:00,857,26.1,58.8,5.0,0.82,Light Rain,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-08,10,2024-05-08 10:00:00,1075,28.3,49.4,3.4,0.77,Clear,0,0,Bangalore,All,None,65.0,1.25,81.25,City
2024-05-08,11,2024-05-08 11:00:00,851,26.6,49.5,1.1,0.76,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-08,12,2024-05-08 12:00:00,748,26.6,53.2,1.0,0.8,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-08,13,2024-05-08 13:00:00,729,30.3,56.1,2.6,0.73,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-08,14,2024-05-08 14:00:00,744,29.8,67.5,0.4,0.78,Clear,0,0,Bangalore,All,None,65.0,1.08,70.2,City
2024-05-08,15,2024-05-08 15:00:00,341,27.9,58.7,1.8,0.8,Heavy Rain,0,0,Bangalore,All,None,65.0,1.0,65.0,City
2024-05-08,16,2024-05-08 16:00:00,952,31.4,52.5,3.1,0.76,Clear,0,0,Bangalore,All,None,65.0,1.17,76.05,City
2024-05-08,17,2024-05-08 17:00:00,751,28.2,60.4,4.4,0.77,Light Rain,0,0,Bangalore,All,None,65.0,1.08,70.2,City
